,City,Temp,Wind,Clouds,Humidity,Latitude,Longitude
152,Banda Aceh,81.28,2.95,12,91,5.56,95.32
153,Lorengau,83.31,5.08,8,100,-2.02,147.27
154,Upernavik,9.37,10.89,56,100,72.79,-56.15
155,Selje,39.2,16.11,92,100,62.05,5.35
156,Joao Pinheiro,71.29,5.75,80,81,-17.74,-46.17
157,Wanaka,74.26,4.07,0,30,-44.7,169.14
158,Kavieng,86.1,4.74,32,98,-2.57,150.8
159,Tomatlan,66.61,2.73,0,90,19.93,-105.25
160,Muyezerskiy,2.85,6.42,0,72,63.93,31.65
161,Ovalle,59.59,2.95,0,90,-30.6,-71.2
162,Victoria,89.6,3.36,75,62,5.28,115.24
163,Poya,78.13,15.14,12,95,-21.35,165.16
164,Calvinia,52.35,1.72,0,79,-31.47,19.78
165,Alofi,84.2,19.46,75,70,-19.06,-169.92
166,Kuytun,31.42,2.95,92,95,54.34,101.51
167,Sao Joao da Barra,82.41,18.61,76,98,-21.64,-41.05
168,Souillac,54.0,18.34,0,58,45.6,-0.6
169,Tigil,13.42,5.86,64,91,57.8,158.67
170,Tasiilaq,19.4,23.04,36,37,65.61,-37.64
171,Salalah,71.6,2.24,0,64,17.01,54.1
172,Nicoya,82.4,24.16,0,54,10.15,-85.45
173,Hays,12.99,6.53,1,72,38.88,-99.33
174,Cockburn Town,77.95,13.02,100,97,21.46,-71.14
175,Fermoy,48.2,13.87,75,100,52.14,-8.28
176,Bethel,35.6,9.17,40,83,60.79,-161.76
177,Sorong,82.0,5.19,12,100,-0.86,131.25
178,Havoysund,23.0,29.97,76,92,71.0,24.66
179,Berlevag,13.11,6.76,12,100,70.86,29.09
180,Brae,39.2,12.75,12,64,60.4,-1.35
181,Doka,68.05,9.44,0,37,13.52,35.76
182,Coahuayana,67.69,2.06,8,61,18.62,-100.35
183,Nizwa,46.23,3.18,0,64,22.93,57.53
184,San Pedro,69.01,7.31,32,86,-33.68,-59.66
185,Alice Springs,89.6,14.99,0,22,-23.7,133.88
186,Ahipara,73.86,5.19,44,65,-35.17,173.16
